,time,open,high,low,close,tickvol,vol
530,2020-10-08 15:30:00,97650,97780,97585,97690,74429,355300
531,2020-10-08 15:45:00,97685,97770,97575,97670,65218,278784
532,2020-10-08 16:00:00,97670,98070,97630,97940,89798,381660
533,2020-10-08 16:15:00,97945,97960,97660,97765,73030,295015
534,2020-10-08 16:30:00,97765,97840,97700,97775,46370,190209
535,2020-10-08 16:45:00,97770,97875,97685,97820,53241,233069
536,2020-10-08 17:00:00,97825,97960,97700,97750,53423,218549
537,2020-10-08 17:15:00,97745,97855,97710,97715,33052,122717
538,2020-10-08 17:30:00,97720,97750,97600,97670,32725,120177
539,2020-10-08 17:45:00,97675,97800,97565,97655,21402,69244
540,2020-10-09 09:00:00,97905,98020,97685,97785,82836,244525
541,2020-10-09 09:15:00,97780,97925,97710,97755,84736,278468
542,2020-10-09 09:30:00,97755,97795,97670,97735,53044,177615
543,2020-10-09 09:45:00,97735,97790,97655,97755,55020,190289
544,2020-10-09 10:00:00,97760,97765,97335,97360,184103,645695
545,2020-10-09 10:15:00,97360,97520,97270,97410,140833,496952
546,2020-10-09 10:30:00,97410,97575,97265,97320,145002,528178
547,2020-10-09 10:45:00,97320,97475,97130,97445,170633,587816
548,2020-10-09 11:00:00,97445,97630,97340,97490,139093,487723
549,2020-10-09 11:15:00,97485,97690,97305,97345,134353,489159
550,2020-10-09 11:30:00,97345,97900,97270,97845,140557,520784
551,2020-10-09 11:45:00,97845,98360,97825,98335,173136,651347
552,2020-10-09 12:00:00,98335,98480,98165,98420,132868,512755
553,2020-10-09 12:15:00,98420,98590,98305,98355,99103,372113
554,2020-10-09 12:30:00,98350,98350,98055,98115,97169,369950
555,2020-10-09 12:45:00,98115,98700,98080,98550,145674,543197
556,2020-10-09 13:00:00,98545,98600,98115,98140,84009,311159
557,2020-10-09 13:15:00,98145,98175,97860,97950,96623,388128
558,2020-10-09 13:30:00,97950,97975,97450,97630,101244,395717
559,2020-10-09 13:45:00,97630,97775,97595,97715,71664,281768
560,2020-10-09 14:00:00,97715,97830,97600,97690,70642,260317
561,2020-10-09 14:15:00,97695,97790,97545,97715,74571,282501
562,2020-10-09 14:30:00,97710,97725,97365,97535,93088,350623
563,2020-10-09 14:45:00,97530,97575,97330,97545,80756,309747
564,2020-10-09 15:00:00,97540,97615,97305,97415,71233,267479
565,2020-10-09 15:15:00,97410,97525,97375,97480,56858,215872
566,2020-10-09 15:30:00,97475,97485,97095,97365,100250,396488
567,2020-10-09 15:45:00,97365,97480,97265,97465,66453,253780
568,2020-10-09 16:00:00,97465,97585,97330,97445,74531,290134
569,2020-10-09 16:15:00,97450,97635,97380,97560,63372,249686
570,2020-10-09 16:30:00,97565,97650,97430,97535,70426,279994
571,2020-10-09 16:45:00,97535,97605,97360,97420,57908,242127
572,2020-10-09 17:00:00,97425,97430,97170,97280,48315,209485
573,2020-10-09 17:15:00,97280,97530,97265,97505,37629,138369
574,2020-10-09 17:30:00,97510,97610,97460,97530,34980,113437
575,2020-10-09 17:45:00,97530,97650,97450,97650,22077,63067
576,2020-10-13 09:00:00,98180,98340,98155,98220,56590,176839
577,2020-10-13 09:15:00,98220,98280,98165,98200,45757,142995
578,2020-10-13 09:30:00,98200,98310,98050,98070,85922,264410
579,2020-10-13 09:45:00,98070,98095,97910,97985,94861,285296
580,2020-10-13 10:00:00,97990,97990,97550,97680,179236,605655
581,2020-10-13 10:15:00,97680,97715,97405,97700,131249,465257
582,2020-10-13 10:30:00,97695,97725,97255,97510,199956,734279
583,2020-10-13 10:45:00,97505,97900,97470,97845,186759,675494
584,2020-10-13 11:00:00,97840,98120,97480,97575,191531,689596
585,2020-10-13 11:15:00,97570,98065,97485,97950,127292,483886
586,2020-10-13 11:30:00,97950,98030,97360,97515,178677,682075
587,2020-10-13 11:45:00,97510,97595,97280,97475,140871,557889
588,2020-10-13 12:00:00,97475,97625,97330,97555,100669,392459
589,2020-10-13 12:15:00,97560,97590,97340,97405,84898,345702
590,2020-10-13 12:30:00,97400,97560,97235,97330,93132,381303
591,2020-10-13 12:45:00,97330,97770,97210,97640,111235,450263
592,2020-10-13 13:00:00,97635,97805,97555,97765,81590,321304
593,2020-10-13 13:15:00,97760,97835,97650,97830,65173,263602
594,2020-10-13 13:30:00,97830,97875,97585,97760,102555,471716
595,2020-10-13 13:45:00,97760,98450,97755,98405,156125,661394
596,2020-10-13 14:00:00,98400,98935,98395,98835,155367,746731
597,2020-10-13 14:15:00,98840,99050,98740,98740,118176,542740
598,2020-10-13 14:30:00,98740,98805,98575,98580,96573,466507
599,2020-10-13 14:45:00,98585,98715,98355,98380,96171,444278
600,2020-10-13 15:00:00,98385,98410,98220,98350,98344,440608
601,2020-10-13 15:15:00,98350,98480,98205,98240,89147,397023
602,2020-10-13 15:30:00,98240,98350,98035,98300,92207,415105
603,2020-10-13 15:45:00,98300,98390,98155,98185,78712,332491
604,2020-10-13 16:00:00,98185,98350,98125,98290,54625,232399
605,2020-10-13 16:15:00,98285,98425,98165,98235,68055,288277
606,2020-10-13 16:30:00,98230,98515,98185,98455,70546,303868
607,2020-10-13 16:45:00,98455,98785,98440,98555,96134,398941
608,2020-10-13 17:00:00,98555,98665,98450,98510,50148,213401
609,2020-10-13 17:15:00,98515,98565,98345,98370,34704,128680
610,2020-10-13 17:30:00,98365,98370,98170,98200,39572,147668
611,2020-10-13 17:45:00,98195,98300,98080,98080,24267,74231
612,2020-10-14 09:00:00,98190,98565,98140,98505,70983,197887
613,2020-10-14 09:15:00,98510,98790,98465,98515,94531,290235
614,2020-10-14 09:30:00,98515,98745,98490,98720,67284,202163
615,2020-10-14 09:45:00,98725,98925,98665,98875,84531,269842
616,2020-10-14 10:00:00,98875,99360,98865,99325,162371,552497
617,2020-10-14 10:15:00,99320,99475,99055,99300,141881,517832
618,2020-10-14 10:30:00,99300,99770,99290,99705,159315,624109
619,2020-10-14 10:45:00,99705,99755,99290,99375,147273,546679
620,2020-10-14 11:00:00,99375,99715,99345,99580,99585,370579
621,2020-10-14 11:15:00,99580,99875,99450,99550,131552,483417
622,2020-10-14 11:30:00,99545,99740,99360,99520,117797,461099
623,2020-10-14 11:45:00,99520,99685,99410,99675,70039,263436
624,2020-10-14 12:00:00,99675,99765,99430,99535,76709,288429
625,2020-10-14 12:15:00,99535,99725,99485,99515,66165,255565
626,2020-10-14 12:30:00,99510,99825,99505,99715,74828,280131
627,2020-10-14 12:45:00,99710,99730,99295,99325,114109,433704
628,2020-10-14 13:00:00,99320,99490,99025,99215,113274,418928
629,2020-10-14 13:15:00,99215,99310,99075,99275,68526,260311
630,2020-10-14 13:30:00,99280,99575,99245,99345,95733,359010
631,2020-10-14 13:45:00,99345,99600,99265,99565,73573,276242
632,2020-10-14 14:00:00,99565,99755,99525,99620,84151,302685
633,2020-10-14 14:15:00,99615,99680,99535,99545,50291,188092
634,2020-10-14 14:30:00,99545,99620,99200,99265,106575,390421
635,2020-10-14 14:45:00,99265,99620,99215,99530,74342,271376
636,2020-10-14 15:00:00,99530,99655,99405,99485,68374,257091
637,2020-10-14 15:15:00,99490,99525,99180,99255,93636,352651
638,2020-10-14 15:30:00,99260,99380,99150,99345,70168,276996
639,2020-10-14 15:45:00,99340,99690,99300,99615,71464,281295
640,2020-10-14 16:00:00,99620,99815,99530,99665,78196,308370
641,2020-10-14 16:15:00,99665,99725,99530,99620,49479,197490
642,2020-10-14 16:30:00,99620,99680,99460,99590,63294,262668
643,2020-10-14 16:45:00,99590,99710,99515,99530,52382,221170
644,2020-10-14 17:00:00,99525,99560,99400,99430,43331,187560
645,2020-10-14 17:15:00,99430,99525,99405,99410,28657,105322
646,2020-10-14 17:30:00,99410,99415,99275,99295,30272,113808
647,2020-10-14 17:45:00,99295,99325,99210,99250,17972,60281
648,2020-10-15 09:00:00,98175,98395,98085,98240,78494,247291
649,2020-10-15 09:15:00,98235,98485,98175,98375,87555,264868
650,2020-10-15 09:30:00,98375,98380,97965,98145,136232,421718
651,2020-10-15 09:45:00,98145,98195,98025,98135,66380,220029
652,2020-10-15 10:00:00,98135,98220,97910,98100,129831,463361
653,2020-10-15 10:15:00,98100,98315,98025,98145,140773,486486
654,2020-10-15 10:30:00,98145,98480,98000,98380,217061,810239
655,2020-10-15 10:45:00,98385,98730,98345,98665,171296,625086
656,2020-10-15 11:00:00,98665,98745,98390,98430,137672,532734
657,2020-10-15 11:15:00,98435,98785,98390,98650,145382,567468
658,2020-10-15 11:30:00,98645,98760,98440,98470,119582,440245
659,2020-10-15 11:45:00,98475,98690,98445,98670,69487,251806
660,2020-10-15 12:00:00,98675,99070,98635,98825,142687,529849
661,2020-10-15 12:15:00,98825,99010,98800,98910,81611,340932
662,2020-10-15 12:30:00,98910,99020,98900,98955,54482,216507
663,2020-10-15 12:45:00,98955,99135,98940,99050,77950,303930
664,2020-10-15 13:00:00,99055,99055,98900,98910,61706,239389
665,2020-10-15 13:15:00,98910,98940,98675,98745,92634,359572
666,2020-10-15 13:30:00,98745,98845,98640,98740,79467,292400
667,2020-10-15 13:45:00,98745,98915,98675,98900,77049,293203
668,2020-10-15 14:00:00,98895,98975,98860,98960,63822,239440
669,2020-10-15 14:15:00,98955,99245,98900,99235,103869,400955
670,2020-10-15 14:30:00,99235,99670,99235,99485,156588,628940
671,2020-10-15 14:45:00,99485,99540,99335,99350,65907,266048
672,2020-10-15 15:00:00,99355,99730,99340,99630,117613,459386
673,2020-10-15 15:15:00,99630,99645,99400,99445,65859,268291
674,2020-10-15 15:30:00,99445,99485,99320,99385,61976,250278
675,2020-10-15 15:45:00,99390,99515,99280,99470,72295,297933
676,2020-10-15 16:00:00,99470,99545,99370,99435,65875,267313
677,2020-10-15 16:15:00,99445,99610,99310,99350,86873,356822
678,2020-10-15 16:30:00,99350,99515,99295,99420,74727,335390
679,2020-10-15 16:45:00,99425,99430,99220,99255,68160,287514
680,2020-10-15 17:00:00,99255,99310,99145,99185,47588,194604
681,2020-10-15 17:15:00,99185,99245,99165,99195,17781,62587
682,2020-10-15 17:30:00,99195,99280,99080,99185,35578,136696
683,2020-10-15 17:45:00,99185,99190,99045,99045,17028,58286
684,2020-10-16 09:00:00,99340,99435,98950,98990,95756,292173
685,2020-10-16 09:15:00,98990,99080,98920,99040,72952,238175
686,2020-10-16 09:30:00,99045,99090,98970,99045,60995,203946
687,2020-10-16 09:45:00,99045,99135,99015,99105,69585,224899
688,2020-10-16 10:00:00,99105,99110,98825,98990,158915,553458
689,2020-10-16 10:15:00,98990,99065,98780,98895,146634,546047
690,2020-10-16 10:30:00,98890,99150,98755,98970,205248,774413
691,2020-10-16 10:45:00,98965,99200,98840,99125,164659,638517
692,2020-10-16 11:00:00,99120,99370,99100,99160,149057,581922
693,2020-10-16 11:15:00,99165,99235,98910,99205,168444,669767
694,2020-10-16 11:30:00,99205,99230,98790,99015,147291,623781
695,2020-10-16 11:45:00,99020,99070,98720,99025,144096,620440
696,2020-10-16 12:00:00,99025,99140,98890,99025,98002,424720
697,2020-10-16 12:15:00,99030,99035,98535,98590,143801,640689
698,2020-10-16 12:30:00,98595,98710,98485,98510,107413,479134
699,2020-10-16 12:45:00,98515,98745,98465,98730,65380,259686
700,2020-10-16 13:00:00,98730,98775,98610,98765,60868,241059
701,2020-10-16 13:15:00,98765,98835,98685,98825,53028,208351
702,2020-10-16 13:30:00,98820,98860,98600,98750,95597,408986
703,2020-10-16 13:45:00,98750,98995,98750,98960,79427,330790
704,2020-10-16 14:00:00,98960,99030,98915,98955,58347,239488
705,2020-10-16 14:15:00,98950,99075,98800,98950,95453,379877
706,2020-10-16 14:30:00,98955,98955,98770,98865,54111,218280
707,2020-10-16 14:45:00,98860,98980,98690,98735,75962,304927
708,2020-10-16 15:00:00,98735,98780,98615,98680,81822,342483
709,2020-10-16 15:15:00,98680,98815,98640,98750,52834,225554
710,2020-10-16 15:30:00,98750,98830,98670,98740,49082,212488
711,2020-10-16 15:45:00,98740,98890,98730,98775,54000,238372
712,2020-10-16 16:00:00,98775,98835,98500,98545,84278,383564
713,2020-10-16 16:15:00,98550,98820,98525,98785,59603,256273
714,2020-10-16 16:30:00,98785,98840,98680,98705,45482,199182
715,2020-10-16 16:45:00,98705,98705,98570,98590,53512,237696
716,2020-10-16 17:00:00,98595,98625,98335,98365,66677,293295
717,2020-10-16 17:15:00,98365,98420,98280,98340,36004,144591
718,2020-10-16 17:30:00,98340,98635,98340,98610,46628,174889
719,2020-10-16 17:45:00,98610,98700,98540,98700,16759,56548
720,2020-10-19 09:00:00,99150,99185,99000,99145,65655,206980
721,2020-10-19 09:15:00,99140,99250,99065,99105,60234,189721
722,2020-10-19 09:30:00,99105,99180,98980,99055,61631,205852
723,2020-10-19 09:45:00,99060,99110,98945,99015,64170,220318
724,2020-10-19 10:00:00,99015,99070,98915,99070,90178,332088
725,2020-10-19 10:15:00,99070,99310,98925,99085,180896,647656
726,2020-10-19 10:30:00,99080,99490,98880,99440,231401,863349
727,2020-10-19 10:45:00,99440,99980,99415,99860,205896,817792
728,2020-10-19 11:00:00,99865,100030,99750,99845,149928,597811
729,2020-10-19 11:15:00,99845,100095,99810,99885,123121,510697
730,2020-10-19 11:30:00,99885,99955,99790,99830,89159,381022
731,2020-10-19 11:45:00,99830,100060,99790,99875,97371,392187
732,2020-10-19 12:00:00,99875,100070,99825,99940,89783,393595
733,2020-10-19 12:15:00,99940,100170,99885,99950,115784,436939
